일시,평균기온(℃),최고기온(℃),최저기온(℃),일교차
2024-01-01,3.8,9,-0.2,9.2
2024-01-02,4,6.4,1.5,4.9
2024-01-03,1.9,5.9,-1.2,7.1
2024-01-04,1,7.2,-3.7,10.9
2024-01-05,5.6,9.2,0.6,8.6
2024-01-06,1.4,6.8,-2.7,9.5
2024-01-07,-2.2,1.9,-6,7.9
2024-01-08,-3.8,2.5,-8.9,11.4
2024-01-09,0.8,6.9,-3.9,10.8
2024-01-10,-1.3,0.4,-4.2,4.6
2024-01-11,0.6,4,-4.7,8.7
2024-01-12,2.9,8.8,-1.5,10.3
2024-01-13,0.4,6.9,-4.5,11.4
2024-01-14,1.2,9.4,-4.6,14
2024-01-15,-2.1,3.7,-6,9.7
2024-01-16,-1.9,5,-7.2,12.2
2024-01-17,0.8,2.8,-2.9,5.7
2024-01-18,4.3,6.5,2.6,3.9
2024-01-19,5.9,9.3,4.5,4.8
2024-01-20,4.4,6,2.1,3.9
2024-01-21,2.7,9,-0.2,9.2
2024-01-22,-5.4,-0.2,-8.8,8.6
2024-01-23,-9.2,-6,-12.3,6.3
2024-01-24,-6.9,-2.6,-11.6,9
2024-01-25,-4.3,2.4,-9.9,12.3
2024-01-26,-1.9,3.9,-7.1,11
2024-01-27,0.1,6.1,-4.4,10.5
2024-01-28,-0.3,4.5,-4,8.5
2024-01-29,-1,5.2,-5.8,11
2024-01-30,1.3,10.2,-5.4,15.6
2024-01-31,5.9,13,0.1,12.9
2024-02-01,4,6.2,2.4,3.8
2024-02-02,4.1,9.5,0.4,9.1
2024-02-03,4.6,9.6,-0.3,9.9
2024-02-04,6.2,10.3,3.5,6.8
2024-02-05,4.1,6.1,1.6,4.5
2024-02-06,1.7,4.2,-0.2,4.4
2024-02-07,0.3,5.2,-2,7.2
2024-02-08,0.6,6.8,-4.1,10.9
2024-02-09,1.2,7.4,-4,11.4
2024-02-10,1.3,7.7,-3.7,11.4
2024-02-11,0.8,7.3,-4.1,11.4
2024-02-12,3.6,12.2,-3.7,15.9
2024-02-13,8.4,16.3,0.1,16.2
2024-02-14,13.2,19,9,10
2024-02-15,5.9,13.3,-0.3,13.6
2024-02-16,3.1,10.1,-2,12.1
2024-02-17,5.5,14.5,-2.1,16.6
2024-02-18,5.5,9.8,-0.7,10.5
2024-02-19,9.8,13.5,5.1,8.4
2024-02-20,5.3,7.1,3.3,3.8
2024-02-21,4,5.6,2.8,2.8
2024-02-22,2.1,3.6,1.1,2.5
2024-02-23,3,6.8,0.7,6.1
2024-02-24,2.9,7.2,0.2,7
2024-02-25,2.3,4.7,0,4.7
2024-02-26,3.7,9.4,-2,11.4
2024-02-27,5.3,10.6,1.4,9.2
2024-02-28,6.3,11.8,2.4,9.4
2024-02-29,5.1,7,2.4,4.6
2024-03-01,-2.2,2.5,-5.8,8.3
2024-03-02,-0.9,4.3,-7.9,12.2
2024-03-03,5.3,10.8,1.2,9.6
2024-03-04,6.7,13.1,-0.3,13.4
2024-03-05,5.9,8.1,4.6,3.5
2024-03-06,7,12.2,2,10.2
2024-03-07,4.6,8.6,0.6,8
2024-03-08,2.9,8.7,-0.7,9.4
2024-03-09,2.3,9.1,-3.2,12.3
2024-03-10,4.6,13,-3.2,16.2
2024-03-11,6.4,12,-0.4,12.4
2024-03-12,5.6,10.6,2.7,7.9
2024-03-13,6.6,13.3,0.2,13.1
2024-03-14,8.4,16.5,1.8,14.7
2024-03-15,9.5,18.5,0.7,17.8
2024-03-16,11.4,21.4,1.8,19.6
2024-03-17,9.7,14.2,3.9,10.3
2024-03-18,7.9,15.6,0.1,15.5
2024-03-19,7.2,12.4,4.2,8.2
2024-03-20,4.6,9.6,1.1,8.5
2024-03-21,5.2,11.7,-1.6,13.3
2024-03-22,10.1,18.2,2.3,15.9
2024-03-23,14.9,21.3,10.1,11.2
2024-03-24,14.1,19.4,10.7,8.7
2024-03-25,9.4,13.4,6.6,6.8
2024-03-26,6.7,11.7,3.3,8.4
2024-03-27,10.2,17.7,2.2,15.5
2024-03-28,9,10.3,8.3,2
2024-03-29,9.3,13.8,5.8,8
2024-03-30,10,16.5,1.8,14.7
2024-03-31,10.9,18.8,2.3,16.5
2024-04-01,13.1,22.1,3.7,18.4
2024-04-02,16.1,26.1,5.9,20.2
2024-04-03,13.2,14.2,12.1,2.1
2024-04-04,13.4,16.9,11.5,5.4
2024-04-05,13.3,19.2,9.9,9.3
2024-04-06,13.2,20.2,7.7,12.5
2024-04-07,15.9,24.7,7.1,17.6
2024-04-08,16.5,23.7,8.4,15.3
2024-04-09,15.3,21.4,9.2,12.2
2024-04-10,14.5,20.6,9.2,11.4
2024-04-11,16.1,23.2,11.1,12.1
2024-04-12,17.5,25.5,10,15.5
2024-04-13,19.3,28.4,10.3,18.1
2024-04-14,20.3,29.3,11.2,18.1
2024-04-15,16.2,19.6,12.5,7.1
2024-04-16,14.3,20.6,11.6,9
2024-04-17,15.6,23,9,14
2024-04-18,17.3,26.1,8.7,17.4
2024-04-19,18.2,26.4,9,17.4
2024-04-20,14.1,16.4,13.2,3.2
2024-04-21,16.2,18.1,13.7,4.4
2024-04-22,17.4,23,14.2,8.8
2024-04-23,16.4,23,10.6,12.4
2024-04-24,13.8,17.8,10.9,6.9
2024-04-25,15.6,23.3,9.6,13.7
2024-04-26,17.8,27.2,9.9,17.3
2024-04-27,18.7,27.6,10.7,16.9
2024-04-28,19.9,29.4,9.5,19.9
2024-04-29,17.2,19.2,15.5,3.7
2024-04-30,16.6,20.8,13.3,7.5
2024-05-01,16.5,21.6,11.8,9.8
2024-05-02,17,24.8,9.6,15.2
2024-05-03,18.4,27.5,8.8,18.7
2024-05-04,21.1,28.9,10.9,18
2024-05-05,18.1,21.7,16.8,4.9
2024-05-06,14.4,16.8,13.3,3.5
2024-05-07,12.9,16.3,10.7,5.6
2024-05-08,14.4,20.1,9.7,10.4
2024-05-09,15.6,22.8,8.1,14.7
2024-05-10,17.9,25.4,9.6,15.8
2024-05-11,18.9,25.3,12.6,12.7
2024-05-12,16.6,22.8,11.3,11.5
2024-05-13,17.6,25.6,9.3,16.3
2024-05-14,18.5,25.8,10.1,15.7
2024-05-15,13.7,23.1,8.1,15
2024-05-16,14.2,20.7,7,13.7
2024-05-17,19.2,25.6,13.5,12.1
2024-05-18,20.4,27.6,12.1,15.5
2024-05-19,21.6,29.3,14.2,15.1
2024-05-20,19.3,25.4,13,12.4
2024-05-21,20.5,26.5,15.5,11
2024-05-22,21.5,28.1,15.2,12.9
2024-05-23,22.2,29.4,15.7,13.7
2024-05-24,21.2,28.1,14.3,13.8
2024-05-25,19.4,22.3,17.3,5
2024-05-26,20.4,27,14.3,12.7
2024-05-27,18.5,23.2,13.7,9.5
2024-05-28,18.8,25.2,12.1,13.1
2024-05-29,20.9,28.4,12.7,15.7
2024-05-30,21.1,25.6,16.1,9.5
2024-05-31,21.4,27.4,16.3,11.1
2024-06-01,20,25.3,16.6,8.7
2024-06-02,20.1,27.1,13.9,13.2
2024-06-03,20.8,27.5,13.5,14
2024-06-04,21.6,28,15.3,12.7
2024-06-05,22.5,28.9,16.3,12.6
2024-06-06,22.8,29.3,17.5,11.8
2024-06-07,22.8,28.9,16,12.9
2024-06-08,20.5,26.1,17.4,8.7
2024-06-09,23.9,30.2,18.8,11.4
2024-06-10,24.7,31.5,17.3,14.2
2024-06-11,25.8,32.2,21.5,10.7
2024-06-12,25.3,33.4,18.3,15.1
2024-06-13,25.9,33.8,17.7,16.1
2024-06-14,26.6,33.1,20.1,13
2024-06-15,24.3,29,21.5,7.5
2024-06-16,24.4,30.2,19.1,11.1
2024-06-17,23.4,29,17.3,11.7
2024-06-18,25.4,34.1,16.5,17.6
2024-06-19,27.5,36.6,19.2,17.4
2024-06-20,25.7,32.5,20,12.5
2024-06-21,26.4,33.2,18.7,14.5
2024-06-22,23.5,25.3,22.4,2.9
2024-06-23,24.2,28.1,22.1,6
2024-06-24,25.3,30,20.3,9.7
2024-06-25,22.9,28.5,18.1,10.4
2024-06-26,24.3,30.6,17.8,12.8
2024-06-27,23.7,28.4,19.2,9.2
2024-06-28,25.7,32.3,18.3,14
2024-06-29,25.3,30.2,22,8.2
2024-06-30,24.2,26.2,22.3,3.9
2024-07-01,26.2,31.9,21.5,10.4
2024-07-02,24,26.5,20.8,5.7
2024-07-03,25.7,29.9,23.1,6.8
2024-07-04,28.1,32.2,23.3,8.9
2024-07-05,25.8,29.2,23.2,6
2024-07-06,27.5,31.4,23.5,7.9
2024-07-07,25.5,27.6,22.5,5.1
2024-07-08,23.9,25.9,22.3,3.6
2024-07-09,23.1,24.3,22,2.3
2024-07-10,23.4,26.8,21.1,5.7
2024-07-11,24.4,27.1,22.1,5
2024-07-12,26,31.4,22.3,9.1
2024-07-13,26.3,31.1,22.7,8.4
2024-07-14,26.2,29.9,23.5,6.4
2024-07-15,26.6,31.2,23.7,7.5
2024-07-16,24.6,27.3,22,5.3
2024-07-17,26.7,29.8,22.2,7.6
2024-07-18,25.9,27.6,23.8,3.8
2024-07-19,25.1,28.6,23.2,5.4
2024-07-20,26,31.3,22.6,8.7
2024-07-21,27.8,31.9,24.9,7
2024-07-22,28.9,31.7,26,5.7
2024-07-23,27.2,28.5,26.1,2.4
2024-07-24,28.6,33.4,25.3,8.1
2024-07-25,28.1,34.7,24.7,10
2024-07-26,28.4,34,25.1,8.9
2024-07-27,28.2,32.4,26,6.4
2024-07-28,29.7,34.1,25.8,8.3
2024-07-29,28.6,32.2,26.4,5.8
2024-07-30,28.7,32.8,26.3,6.5
2024-07-31,29.5,34.3,26.1,8.2
2024-08-01,30,34.2,26.9,7.3
2024-08-02,30.3,34.3,27.3,7
2024-08-03,30.7,35.6,27.4,8.2
2024-08-04,29.1,35.5,26.2,9.3
2024-08-05,27.4,34.3,24,10.3
2024-08-06,28.6,33.9,23.4,10.5
2024-08-07,28.9,34.6,25.4,9.2
2024-08-08,27.3,29.6,25.4,4.2
2024-08-09,28.4,33.9,24.6,9.3
2024-08-10,28.7,33.8,24.6,9.2
2024-08-11,29.6,34,25.2,8.8
2024-08-12,30.5,35.6,26,9.6
2024-08-13,29.2,35,24.9,10.1
2024-08-14,29.5,34.6,24.6,10
2024-08-15,29.5,34.1,25.6,8.5
2024-08-16,29.7,34.2,25.5,8.7
2024-08-17,29.5,34.7,25.7,9
2024-08-18,29.5,35,25.9,9.1
2024-08-19,29.9,34.8,25.2,9.6
2024-08-20,29.7,35.1,27.1,8
2024-08-21,28.6,31.5,26.5,5
2024-08-22,28.5,33,25.8,7.2
2024-08-23,28.3,32.8,24.1,8.7
2024-08-24,28.1,32.9,25.4,7.5
2024-08-25,28,32.8,24.4,8.4
2024-08-26,27.9,32.2,24.7,7.5
2024-08-27,26.3,28.3,24,4.3
2024-08-28,27,31,22.1,8.9
2024-08-29,27,32.4,22.9,9.5
2024-08-30,27.3,33.6,22.3,11.3
2024-08-31,26.6,32.2,22,10.2
2024-09-01,26.9,32.4,23.3,9.1
2024-09-02,24.8,27.4,21.9,5.5
2024-09-03,27.1,32,23.1,8.9
2024-09-04,26.8,33.3,21.6,11.7
2024-09-05,27.2,32.4,22.9,9.5
2024-09-06,25.6,29.1,23.6,5.5
2024-09-07,26.6,31.5,23.4,8.1
2024-09-08,27.6,34.3,22.8,11.5
2024-09-09,29,34.9,24.2,10.7
2024-09-10,29.5,36,24.8,11.2
2024-09-11,28.1,35.3,25.2,10.1
2024-09-12,26.5,30.9,24.9,6
2024-09-13,28,33.4,24.2,9.2
2024-09-14,28.8,34.6,25.3,9.3
2024-09-15,29.3,34.5,25.1,9.4
2024-09-16,28,32.1,24.9,7.2
2024-09-17,29.7,35.7,25,10.7
2024-09-18,28.2,33.6,24.4,9.2
2024-09-19,28.5,34,23.9,10.1
2024-09-20,25.5,27.6,24.2,3.4
2024-09-21,21.4,25.4,19.5,5.9
2024-09-22,21.3,26.7,16.9,9.8
2024-09-23,21,25.8,17.3,8.5
2024-09-24,20.9,27.2,15.4,11.8
2024-09-25,23.2,28.5,18.4,10.1
2024-09-26,24.1,29.4,20.6,8.8
2024-09-27,23,28.6,19.7,8.9
2024-09-28,22.7,28.1,18.7,9.4
2024-09-29,22.8,27.8,18.7,9.1
2024-09-30,21,27.9,15.4,12.5
2024-10-01,17,21.9,12.9,9
2024-10-02,14.9,21.2,10.8,10.4
2024-10-03,12.9,15.5,10,5.5
2024-10-04,16.2,24,11.2,12.8
2024-10-05,17.2,23.9,11,12.9
2024-10-06,16.6,19.1,13.8,5.3
2024-10-07,17,20.5,13.7,6.8
2024-10-08,16.7,22.7,13.3,9.4
2024-10-09,18.5,24.8,12.6,12.2
2024-10-10,17.7,23.8,13.6,10.2
2024-10-11,17.6,24.2,12.5,11.7
2024-10-12,17.2,24.5,12,12.5
2024-10-13,17.7,24.4,10.9,13.5
2024-10-14,17.7,19.4,16.3,3.1
2024-10-15,18.3,20.1,16.8,3.3
2024-10-16,18.9,24.5,15.9,8.6
2024-10-17,19.1,25.3,15.2,10.1
2024-10-18,20,23,17.5,5.5
2024-10-19,17.6,22.9,13.2,9.7
2024-10-20,13.3,18,9.8,8.2
2024-10-21,13.9,18.9,8.5,10.4
2024-10-22,16.6,18.6,14.8,3.8
2024-10-23,13.7,18.6,9.1,9.5
